반복횟수, 수행시간 
0, 0.00000 
10, 0.00400 
20, 0.00900 
30, 0.01702 
40, 0.02453 
50, 0.03003 
60, 0.04157 
70, 0.05465 
80, 0.05355 
90, 0.06603 
100, 0.06544 
110, 0.07623 
120, 0.08331 
130, 0.08828 
140, 0.10057 
150, 0.10592 
160, 0.11614 
170, 0.12413 
180, 0.13674 
190, 0.13844 
200, 0.14876 
210, 0.15222 
220, 0.16070 
230, 0.17527 
240, 0.18839 
250, 0.18780 
260, 0.18874 
270, 0.21727 
280, 0.22124 
290, 0.22931 
300, 0.23980 
310, 0.24278 
320, 0.25827 
330, 0.26727 
340, 0.27777 
350, 0.28430 
360, 0.29731 
370, 0.30836 
380, 0.31832 
390, 0.32929 
400, 0.33405 
410, 0.34236 
420, 0.36792 
430, 0.35054 
440, 0.38489 
450, 0.38695 
460, 0.38914 
470, 0.40553 
480, 0.41456 
490, 0.42695 
500, 0.42950 
510, 0.43851 
520, 0.45452 
530, 0.46149 
540, 0.48813 
550, 0.48911 
560, 0.48815 
570, 0.50855 
580, 0.51115 
590, 0.51515 
600, 0.53724 
610, 0.55149 
620, 0.54979 
630, 0.56828 
640, 0.56533 
650, 0.57082 
660, 0.60042 
670, 0.61761 
680, 0.61679 
690, 0.64374 
700, 0.63916 
710, 0.64006 
720, 0.65512 
730, 0.67547 
740, 0.68382 
750, 0.68687 
760, 0.67746 
770, 0.70723 
780, 0.71905 
790, 0.71041 
800, 0.73184 
810, 0.74314 
820, 0.76433 
830, 0.76271 
840, 0.78520 
850, 0.79432 
860, 0.81030 
870, 0.80760 
880, 0.81694 
890, 0.83195 
900, 0.84645 
910, 0.84724 
920, 0.86380 
930, 0.86604 
940, 0.88848 
950, 0.91028 
960, 0.91381 
970, 0.90719 
980, 0.93744 
990, 0.92294 
1000, 0.94091 
