반복횟수, 수행시간 
0, 0.00000 
1000, 3.28003 
2000, 13.59999 
3000, 32.42999 
4000, 60.44997 
5000, 95.70508 
6000, 140.36997 
7000, 187.85008 
8000, 246.62993 
9000, 312.38104 
10000, 379.65560 
11000, 451.42009 
12000, 541.92987 
13000, 642.78007 
14000, 727.79994 
15000, 835.26995 
16000, 954.52998 
17000, 1085.51006 
18000, 1223.99006 
19000, 1361.54991 
20000, 1514.22998 
21000, 1665.60008 
22000, 1876.97007 
23000, 2045.99001 
24000, 2233.58002 
25000, 2426.42996 
26000, 2646.35000 
27000, 2787.88001 
28000, 2983.46999 
29000, 3221.65653 
30000, 3427.42000 
31000, 3685.35879 
32000, 4082.98707 
33000, 4376.15996 
34000, 4672.08999 
35000, 4983.05994 
36000, 5245.79995 
37000, 5541.97760 
38000, 5838.35002 
39000, 5983.82993 
40000, 6229.47997 
41000, 6539.30994 
42000, 6889.84998 
43000, 7282.45127 
44000, 7732.64998 
45000, 8079.50993 
46000, 8413.10999 
47000, 8820.58661 
48000, 9211.95992 
49000, 9584.34984 
50000, 9583.02999 
