반복횟수, 수행시간 
0, 0.00000 
1000, 3.38995 
2000, 13.59992 
3000, 31.17998 
4000, 56.86507 
5000, 86.47000 
6000, 131.85010 
7000, 174.00992 
8000, 227.28008 
9000, 291.12111 
10000, 356.14053 
11000, 415.50997 
12000, 508.19008 
13000, 592.05999 
14000, 675.23000 
15000, 774.10009 
16000, 882.88002 
17000, 1014.66002 
18000, 1142.43985 
19000, 1271.73997 
20000, 1412.64000 
21000, 1556.16004 
22000, 1713.72001 
23000, 1887.45012 
24000, 2043.40996 
25000, 2228.25999 
26000, 2415.30000 
27000, 2606.94999 
28000, 2793.17010 
29000, 3013.45004 
30000, 3233.92647 
31000, 3428.30002 
32000, 3749.91880 
33000, 4068.09705 
34000, 4414.70997 
35000, 4676.47998 
36000, 4962.84998 
37000, 5244.82000 
38000, 5524.69766 
39000, 5801.69000 
40000, 5906.32999 
41000, 6158.71998 
42000, 6482.82996 
43000, 6817.79001 
44000, 7193.56137 
45000, 7645.47998 
46000, 7985.23014 
47000, 8332.02994 
48000, 8721.75670 
49000, 9082.98989 
50000, 9477.44998 
