반복횟수, 수행시간 
0, 0.00000 
1000, 1.51995 
2000, 6.20997 
3000, 14.47996 
4000, 25.60998 
5000, 42.31005 
6000, 62.01222 
7000, 82.73004 
8000, 109.50999 
9000, 138.41997 
10000, 174.01003 
11000, 209.41101 
12000, 255.69019 
13000, 285.89570 
14000, 322.80003 
15000, 381.43997 
16000, 431.24004 
17000, 495.76990 
18000, 534.87001 
19000, 599.29988 
20000, 663.15002 
21000, 737.38996 
22000, 869.13993 
23000, 945.95008 
24000, 1036.17986 
25000, 1122.28998 
26000, 1214.65000 
27000, 1227.06992 
28000, 1319.50990 
29000, 1424.66002 
30000, 1520.78002 
31000, 1629.25998 
32000, 1743.31993 
33000, 1854.46994 
34000, 1966.15015 
35000, 2098.85996 
36000, 2219.33993 
37000, 2344.31998 
38000, 2473.08649 
39000, 2591.22004 
40000, 2743.48001 
41000, 2970.91893 
42000, 3147.64712 
43000, 3337.99992 
44000, 3528.43992 
45000, 3674.57005 
46000, 3839.81996 
47000, 4016.08998 
48000, 4188.09999 
49000, 4388.35756 
50000, 4545.49993 
