반복횟수, 수행시간 
0, 0.00000 
100, 0.01000 
200, 0.01000 
300, 0.02000 
400, 0.03003 
500, 0.03997 
600, 0.04508 
700, 0.05030 
800, 0.06517 
900, 0.09010 
1000, 0.14024 
1100, 0.08023 
1200, 0.14520 
1300, 0.17028 
1400, 0.13322 
1500, 0.12519 
1600, 0.11258 
1700, 0.17090 
1800, 0.13514 
1900, 0.16021 
2000, 0.16302 
2100, 0.17017 
2200, 0.20034 
2300, 0.18518 
2400, 0.18532 
2500, 0.21031 
2600, 0.22533 
2700, 0.29758 
2800, 0.33570 
2900, 0.31104 
3000, 0.27576 
3100, 0.25041 
3200, 0.26505 
3300, 0.34199 
3400, 0.28050 
3500, 0.34175 
3600, 0.31032 
3700, 0.32128 
3800, 0.46067 
3900, 0.35190 
4000, 0.33561 
4100, 0.37558 
4200, 0.37561 
4300, 0.39136 
4400, 0.37176 
4500, 0.38556 
4600, 0.39531 
4700, 0.42894 
4800, 0.43065 
4900, 0.46237 
5000, 0.43059 
5100, 0.45553 
5200, 0.46616 
5300, 0.45573 
5400, 0.53119 
5500, 0.65091 
5600, 0.53590 
5700, 0.52180 
5800, 0.50354 
5900, 0.52898 
6000, 0.59098 
6100, 0.56066 
6200, 0.59084 
6300, 0.57092 
6400, 0.68571 
6500, 0.60304 
6600, 0.60611 
6700, 0.75101 
6800, 0.61030 
6900, 0.73282 
7000, 0.78745 
7100, 0.74628 
7200, 0.64837 
7300, 0.67727 
7400, 0.71860 
7500, 0.75436 
7600, 0.75982 
7700, 0.75313 
7800, 0.77977 
7900, 0.74198 
8000, 0.80123 
8100, 0.80702 
8200, 0.81619 
8300, 0.79631 
8400, 0.78221 
8500, 0.82674 
8600, 0.79081 
8700, 0.81607 
8800, 0.91698 
8900, 0.89164 
9000, 0.88102 
9100, 0.90100 
9200, 0.83693 
9300, 0.90606 
9400, 0.93611 
9500, 0.88667 
9600, 0.93149 
9700, 0.97868 
9800, 0.92123 
9900, 0.92619 
10000, 1.02109 
