반복횟수, 수행시간 
0, 0.00000 
100, 0.02000 
200, 0.10509 
300, 0.23535 
400, 0.45074 
500, 0.79081 
600, 1.17664 
700, 1.65528 
800, 2.09798 
900, 2.57976 
1000, 3.37440 
1100, 4.34257 
1200, 4.86858 
1300, 5.65690 
1400, 6.67714 
1500, 7.91701 
1600, 8.92272 
1700, 10.47373 
1800, 11.82091 
1900, 13.32078 
2000, 14.41329 
2100, 16.07590 
2200, 17.29410 
2300, 19.29772 
2400, 21.52322 
2500, 22.97024 
2600, 25.29650 
2700, 27.57215 
2800, 28.95350 
2900, 30.93131 
3000, 32.62181 
3100, 36.73808 
3200, 39.28919 
3300, 39.36604 
3400, 45.18326 
3500, 45.89674 
3600, 50.35695 
3700, 52.38510 
3800, 54.86132 
3900, 57.68207 
4000, 60.51219 
4100, 63.74746 
4200, 67.39540 
4300, 69.96537 
4400, 72.60112 
4500, 74.50587 
4600, 79.23167 
4700, 81.88297 
4800, 85.56506 
4900, 87.76034 
5000, 92.32431 
5100, 96.37601 
5200, 99.67215 
5300, 103.74668 
5400, 108.44027 
5500, 114.92855 
5600, 117.84780 
5700, 123.65396 
5800, 127.83520 
5900, 132.42155 
6000, 138.31531 
6100, 141.55706 
6200, 147.43906 
6300, 151.03256 
6400, 157.37494 
6500, 162.61266 
6600, 164.30741 
6700, 168.74531 
6800, 175.26988 
6900, 179.17564 
7000, 187.72417 
7100, 191.69769 
7200, 193.29828 
7300, 202.33831 
7400, 204.01916 
7500, 212.04594 
7600, 218.22495 
7700, 225.09527 
7800, 227.13923 
7900, 231.23940 
8000, 239.60956 
8100, 244.84781 
8200, 251.67889 
8300, 257.35810 
8400, 263.95694 
8500, 271.09292 
8600, 276.75334 
8700, 285.76746 
8800, 289.00551 
8900, 297.15491 
9000, 305.03448 
9100, 312.20356 
9200, 319.62765 
9300, 338.56589 
9400, 340.53164 
9500, 345.71577 
9600, 348.27072 
9700, 355.73360 
9800, 363.06903 
9900, 359.98591 
10000, 367.46136 
