반복횟수, 수행시간 
0, 0.00000 
100, 0.02516 
200, 0.08005 
300, 0.23020 
400, 0.48095 
500, 0.75640 
600, 1.01677 
700, 1.40169 
800, 2.20273 
900, 2.60479 
1000, 3.12614 
1100, 3.78436 
1200, 5.21962 
1300, 5.43586 
1400, 6.40264 
1500, 7.62253 
1600, 8.52280 
1700, 9.50185 
1800, 11.10633 
1900, 12.16166 
2000, 14.04852 
2100, 14.83806 
2200, 17.37558 
2300, 18.69865 
2400, 20.22260 
2500, 21.96392 
2600, 23.95834 
2700, 24.90045 
2800, 27.37671 
2900, 29.45842 
3000, 32.08808 
3100, 34.24562 
3200, 35.91880 
3300, 37.77588 
3400, 41.68075 
3500, 43.44583 
3600, 45.67213 
3700, 48.85322 
3800, 50.96147 
3900, 53.82047 
4000, 57.00832 
4100, 60.09312 
4200, 62.31902 
4300, 66.71891 
4400, 67.46991 
4500, 70.30225 
4600, 74.34974 
4700, 76.89112 
4800, 80.68175 
4900, 82.46157 
5000, 86.37378 
5100, 89.94799 
5200, 93.00823 
5300, 97.89182 
5400, 100.58418 
5500, 108.35040 
5600, 113.38667 
5700, 116.39067 
5800, 119.89622 
5900, 127.13910 
6000, 130.51302 
6100, 135.24804 
6200, 139.76365 
6300, 142.65028 
6400, 147.02095 
6500, 154.28592 
6600, 150.85570 
6700, 158.39223 
6800, 161.22753 
6900, 167.61243 
7000, 171.90007 
7100, 177.11173 
7200, 182.20535 
7300, 186.74858 
7400, 192.11614 
7500, 197.61472 
7600, 202.35624 
7700, 210.47157 
7800, 217.65898 
7900, 216.43524 
8000, 223.72406 
8100, 228.99222 
8200, 233.96333 
8300, 240.71133 
8400, 246.16130 
8500, 252.29065 
8600, 259.78826 
8700, 263.56451 
8800, 272.39581 
8900, 277.73788 
9000, 285.44640 
9100, 292.87052 
9200, 298.30654 
9300, 306.10635 
9400, 310.57287 
9500, 328.92833 
9600, 331.20933 
9700, 337.42742 
9800, 339.20383 
9900, 346.39517 
10000, 351.86155 
