반복횟수, 수행시간 
0, 0.00000 
100, 0.01000 
200, 0.00000 
300, 0.01999 
400, 0.03000 
500, 0.04001 
600, 0.05000 
700, 0.06001 
800, 0.05000 
900, 0.07000 
1000, 0.08000 
1100, 0.10006 
1200, 0.11997 
1300, 0.11999 
1400, 0.13998 
1500, 0.13004 
1600, 0.14992 
1700, 0.16012 
1800, 0.16998 
1900, 0.19009 
2000, 0.20004 
2100, 0.20000 
2200, 0.26003 
2300, 0.22993 
2400, 0.23994 
2500, 0.25996 
2600, 0.27000 
2700, 0.24997 
2800, 0.29010 
2900, 0.29001 
3000, 0.29996 
3100, 0.30996 
3200, 0.33000 
3300, 0.35009 
3400, 0.34003 
3500, 0.36996 
3600, 0.35001 
3700, 0.38006 
3800, 0.40005 
3900, 0.39994 
4000, 0.42992 
4100, 0.43995 
4200, 0.45997 
4300, 0.49996 
4400, 0.46992 
4500, 0.50992 
4600, 0.47982 
4700, 0.47006 
4800, 0.52984 
4900, 0.50998 
5000, 0.54986 
5100, 0.54996 
5200, 0.54002 
5300, 0.57997 
5400, 0.58996 
5500, 0.64923 
5600, 0.66221 
5700, 0.62991 
5800, 0.67007 
5900, 0.67278 
6000, 0.67054 
6100, 0.70998 
6200, 0.71659 
6300, 0.70996 
6400, 0.71998 
6500, 0.73997 
6600, 0.76006 
6700, 0.75991 
6800, 0.75989 
6900, 0.76997 
7000, 0.78985 
7100, 0.77997 
7200, 0.78996 
7300, 0.79997 
7400, 0.82992 
7500, 0.85997 
7600, 0.85992 
7700, 0.86005 
7800, 0.86995 
7900, 0.90008 
8000, 0.89996 
8100, 0.90002 
8200, 0.92986 
8300, 0.95994 
8400, 0.93997 
8500, 0.97007 
8600, 1.03996 
8700, 0.99995 
8800, 1.02994 
8900, 1.05995 
9000, 0.99996 
9100, 1.06993 
9200, 1.04988 
9300, 1.07995 
9400, 1.08999 
9500, 1.22007 
9600, 1.42998 
9700, 1.10994 
9800, 1.13003 
9900, 1.20005 
10000, 1.15991 
