반복횟수, 수행시간 
0, 0.00000 
100, 0.02002 
200, 0.04001 
300, 0.11569 
400, 0.21516 
500, 0.36067 
600, 0.61367 
700, 0.72636 
800, 0.97315 
900, 1.29708 
1000, 1.73350 
1100, 1.98487 
1200, 2.41330 
1300, 2.67869 
1400, 3.12913 
1500, 3.80913 
1600, 3.92098 
1700, 4.60977 
1800, 5.20468 
1900, 6.28602 
2000, 6.48655 
2100, 7.24380 
2200, 8.00325 
2300, 8.63279 
2400, 9.62250 
2500, 10.26976 
2600, 11.53502 
2700, 11.68131 
2800, 13.16510 
2900, 13.57667 
3000, 14.16231 
3100, 15.96441 
3200, 17.01436 
3300, 17.67584 
3400, 18.99141 
3500, 20.07826 
3600, 20.92490 
3700, 22.18997 
3800, 23.80633 
3900, 25.93893 
4000, 26.79682 
4100, 28.72985 
4200, 28.47065 
4300, 30.98740 
4400, 32.08762 
4500, 34.36679 
4600, 35.06017 
4700, 36.16952 
4800, 38.57141 
4900, 39.55822 
5000, 42.15648 
5100, 43.83385 
5200, 45.29860 
5300, 47.46940 
5400, 48.55400 
5500, 52.56471 
5600, 54.47843 
5700, 55.36382 
5800, 56.64534 
5900, 58.57276 
6000, 62.59428 
6100, 62.53158 
6200, 64.97364 
6300, 67.40555 
6400, 68.56109 
6500, 72.00193 
6600, 72.11031 
6700, 75.06767 
6800, 76.88151 
6900, 78.53344 
7000, 81.29334 
7100, 84.02377 
7200, 86.35269 
7300, 86.83908 
7400, 91.32296 
7500, 92.86777 
7600, 96.67159 
7700, 100.13219 
7800, 101.45692 
7900, 104.47771 
8000, 105.89541 
8100, 109.83986 
8200, 114.27099 
8300, 114.85475 
8400, 118.34272 
8500, 121.06722 
8600, 125.86644 
8700, 127.20152 
8800, 130.21129 
8900, 135.04738 
9000, 137.31907 
9100, 142.40842 
9200, 143.72574 
9300, 146.47499 
9400, 148.70521 
9500, 154.74664 
9600, 157.36829 
9700, 159.99371 
9800, 162.08220 
9900, 168.44202 
10000, 172.21131 
