반복횟수, 수행시간 
0, 0.00000 
1000, 3.50000 
2000, 15.24992 
3000, 36.01998 
4000, 66.47373 
5000, 105.21673 
6000, 155.57989 
7000, 209.11008 
8000, 270.84311 
9000, 342.08012 
10000, 418.28005 
11000, 500.64007 
12000, 607.34996 
13000, 702.64994 
14000, 839.64015 
15000, 972.25495 
16000, 1111.04999 
17000, 1256.20001 
18000, 1418.49197 
19000, 1572.40854 
20000, 1739.28208 
21000, 1939.28994 
22000, 2157.31994 
23000, 2340.99993 
24000, 2555.16994 
25000, 2784.32994 
26000, 3007.62985 
27000, 3202.63986 
28000, 3449.93994 
29000, 3711.32998 
30000, 3968.71486 
31000, 4210.86000 
32000, 4490.68002 
33000, 4802.09991 
34000, 5080.56005 
35000, 5387.99995 
36000, 5714.59998 
37000, 6059.15558 
38000, 6215.28610 
39000, 6514.33999 
40000, 6846.59000 
41000, 7182.77994 
42000, 7533.17991 
43000, 7884.49667 
44000, 8256.59991 
45000, 8663.16960 
46000, 9044.56000 
47000, 9487.16648 
48000, 9757.77444 
49000, 9953.79991 
50000, 10369.76603 
