¹Ýº¹È½¼ö,QuickSort(Àç±Í),QuickSort,SelectSort,InsertSort,BubbleSort,,,¹Ýº¹È½¼ö
0,0,0,0,0,0,,,0
1000,0.09001,0.11002,1.51995,3.38995,3.28003,,,1000
2000,0.16001,0.18997,6.20997,13.59992,13.59999,,,2000
3000,0.25,0.30003,14.47996,31.17998,32.42999,,,3000
4000,0.33995,0.39999,25.60998,56.86507,60.44997,,,4000
5000,0.43007,0.51997,42.31005,86.47,95.70508,,,5000
6000,0.54008,0.67999,62.01222,131.8501,140.36997,,,6000
7000,0.62994,0.75985,82.73004,174.00992,187.85008,,,7000
8000,0.73002,0.89988,109.50999,227.28008,246.62993,,,8000
9000,0.83994,0.99014,138.41997,291.12111,312.38104,,,9000
10000,0.98,1.19005,174.01003,356.14053,379.6556,,,10000
11000,1.03007,1.30013,209.41101,415.50997,451.42009,,,11000
12000,1.13997,1.39003,255.69019,508.19008,541.92987,,,12000
13000,1.26009,1.47987,285.8957,592.05999,642.78007,,,13000
14000,1.40008,1.66985,322.80003,675.23,727.79994,,,14000
15000,1.45991,1.86007,381.43997,774.10009,835.26995,,,15000
16000,1.57,1.93013,431.24004,882.88002,954.52998,,,16000
17000,1.71004,2.09979,495.7699,1014.66002,1085.51006,,,17000
18000,1.82,2.22008,534.87001,1142.43985,1223.99006,,,18000
19000,1.89002,2.37006,599.29988,1271.73997,1361.54991,,,19000
20000,1.99995,2.45004,663.15002,1412.64,1514.22998,,,20000
21000,2.06002,2.60514,737.38996,1556.16004,1665.60008,,,21000
22000,2.29006,2.79001,869.13993,1713.72001,1876.97007,,,22000
23000,2.39994,2.93,945.95008,1887.45012,2045.99001,,,23000
24000,2.49011,3.09996,1036.17986,2043.40996,2233.58002,,,24000
25000,2.60006,3.16991,1122.28998,2228.25999,2426.42996,,,25000
26000,2.67005,3.40988,1214.65,2415.3,2646.35,,,26000
27000,2.8,3.49981,1227.06992,2606.94999,2787.88001,,,27000
28000,2.86005,3.53998,1319.5099,2793.1701,2983.46999,,,28000
29000,3.02995,3.69996,1424.66002,3013.45004,3221.65653,,,29000
30000,3.21989,3.89496,1520.78002,3233.92647,3427.42,,,30000
31000,3.30999,4.00196,1629.25998,3428.30002,3685.35879,,,31000
32000,3.4,4.20138,1743.31993,3749.9188,4082.98707,,,32000
33000,3.57535,4.40995,1854.46994,4068.09705,4376.15996,,,33000
34000,3.68239,4.4899,1966.15015,4414.70997,4672.08999,,,34000
35000,3.97005,4.62991,2098.85996,4676.47998,4983.05994,,,35000
36000,3.91986,4.63989,2219.33993,4962.84998,5245.79995,,,36000
37000,4.03996,5.00991,2344.31998,5244.82,5541.9776,,,37000
38000,4.18,4.96993,2473.08649,5524.69766,5838.35002,,,38000
39000,4.30008,5.08988,2591.22004,5801.69,5983.82993,,,39000
