반복횟수, 수행시간 
0,0
1000,0.11002
2000,0.18997
3000,0.30003
4000,0.39999
5000,0.51997
6000,0.67999
7000,0.75985
8000,0.89988
9000,0.99014
10000,1.19005
11000,1.30013
12000,1.39003
13000,1.47987
14000,1.66985
15000,1.86007
16000,1.93013
17000,2.09979
18000,2.22008
19000,2.37006
20000,2.45004
21000,2.60514
22000,2.79001
23000,2.93
24000,3.09996
25000,3.16991
26000,3.40988
27000,3.49981
28000,3.53998
29000,3.69996
30000,3.89496
31000,4.00196
32000,4.20138
33000,4.40995
34000,4.4899
35000,4.62991
36000,4.63989
37000,5.00991
38000,4.96993
39000,5.08988
40000,5.53993
41000,5.39985
42000,5.80987
43000,5.83996
44000,5.85987
45000,6.08997
46000,6.21998
47000,6.27991
48000,6.43994
49000,6.56992
50000,6.75993
51000,7.18986
52000,7.29977
53000,7.31992
54000,7.71994
55000,8.75993
56000,8.05988
57000,8.14003
58000,8.37998
59000,8.81982
60000,8.72999
61000,8.96992
62000,9.11999
63000,9.17978
64000,9.13988
65000,9.47991
66000,9.72996
67000,9.46992
68000,10.01998
69000,10.15999
70000,10.47005
71000,10.1399
72000,10.07993
73000,10.40997
74000,10.42989
75000,10.79991
76000,11.11993
77000,11.75986
78000,11.24986
79000,11.48989
80000,11.88988
81000,11.96003
82000,12.12986
83000,11.92
84000,12.22989
85000,12.54003
86000,12.34993
87000,13.03987
88000,13.57984
89000,14.30988
90000,14.19993
91000,14.37993
92000,14.59984
93000,15.1199
94000,14.87993
95000,15.76991
96000,15.70994
97000,14.95984
98000,15.4399
99000,15.7799
100000,15.71989
