반복횟수, 수행시간 
0, 0.00000 
1000, 3.05001 
2000, 12.99988 
3000, 30.55984 
4000, 53.84053 
5000, 88.20999 
6000, 131.83000 
7000, 175.76994 
8000, 229.75297 
9000, 285.71010 
10000, 344.76998 
11000, 423.03000 
12000, 503.85993 
13000, 601.36002 
14000, 685.05991 
15000, 828.46003 
16000, 950.46508 
17000, 1078.61993 
18000, 1216.47532 
19000, 1367.16640 
20000, 1501.46851 
21000, 1668.17217 
22000, 1820.58003 
23000, 2013.53992 
24000, 2193.29003 
25000, 2379.75996 
26000, 2582.48000 
27000, 2778.63995 
28000, 2992.58998 
29000, 3216.54000 
30000, 3432.39005 
31000, 3679.43011 
32000, 3918.50496 
33000, 4158.72987 
34000, 4433.19995 
35000, 4700.50998 
36000, 4956.94996 
37000, 5251.01995 
38000, 5572.73006 
39000, 5857.03181 
40000, 5954.38000 
41000, 6278.84992 
42000, 6581.91994 
43000, 6888.89996 
44000, 7190.52999 
45000, 7552.94670 
46000, 7891.01002 
47000, 8261.65958 
48000, 8598.83005 
49000, 9000.15648 
50000, 9357.44007 
