반복횟수, 수행시간 
0, 0.06200 
10, 0.06700 
20, 0.06600 
30, 0.06801 
40, 0.06300 
50, 0.07000 
60, 0.06300 
70, 0.06799 
80, 0.06900 
90, 0.06300 
100, 0.06700 
110, 0.06300 
120, 0.07000 
130, 0.06600 
140, 0.06700 
150, 0.06900 
160, 0.06899 
170, 0.06399 
180, 0.07000 
190, 0.06400 
200, 0.06900 
210, 0.06500 
220, 0.07000 
230, 0.06699 
240, 0.06699 
250, 0.06100 
260, 0.06700 
270, 0.07300 
280, 0.07100 
290, 0.06801 
300, 0.06999 
310, 0.06900 
320, 0.06599 
330, 0.06900 
340, 0.06800 
350, 0.07100 
360, 0.06499 
370, 0.06800 
380, 0.06399 
390, 0.06600 
400, 0.06900 
410, 0.06200 
420, 0.07000 
430, 0.06899 
440, 0.06700 
450, 0.07001 
460, 0.06700 
470, 0.06800 
480, 0.06599 
490, 0.07000 
500, 0.06799 
510, 0.06100 
520, 0.07301 
530, 0.06901 
540, 0.06500 
550, 0.06600 
560, 0.06600 
570, 0.06900 
580, 0.06800 
590, 0.06700 
600, 0.06899 
610, 0.07301 
620, 0.06700 
630, 0.06700 
640, 0.07001 
650, 0.07000 
660, 0.06800 
670, 0.06699 
680, 0.07000 
690, 0.06800 
700, 0.07000 
710, 0.06501 
720, 0.07100 
730, 0.06901 
740, 0.07301 
750, 0.07100 
760, 0.06700 
770, 0.06599 
780, 0.06901 
790, 0.06900 
800, 0.06599 
810, 0.06700 
820, 0.06801 
830, 0.06400 
840, 0.06700 
850, 0.06699 
860, 0.06701 
870, 0.06801 
880, 0.06600 
890, 0.06999 
900, 0.06900 
910, 0.06699 
920, 0.06100 
930, 0.07301 
940, 0.06900 
950, 0.06700 
960, 0.07099 
970, 0.06362 
980, 0.06276 
990, 0.06723 
1000, 0.07099 
