반복횟수, 수행시간 
0, 0.00000 
10, 0.00000 
20, 0.01830 
30, 0.04186 
40, 0.06200 
50, 0.09426 
60, 0.13515 
70, 0.17263 
80, 0.24132 
90, 0.31224 
100, 0.35995 
110, 0.42000 
120, 0.52005 
130, 0.62001 
140, 0.79994 
150, 0.85999 
160, 0.88001 
170, 1.02005 
180, 1.13993 
190, 1.30001 
200, 1.40000 
210, 1.64001 
220, 1.68009 
230, 1.83992 
240, 2.02000 
250, 2.18000 
260, 2.36000 
270, 2.54008 
280, 2.75993 
290, 2.98008 
300, 3.17992 
310, 3.38003 
320, 3.63998 
330, 3.88001 
340, 4.12001 
350, 4.49998 
360, 4.68001 
370, 4.98000 
380, 5.28000 
390, 5.58000 
400, 5.91998 
410, 6.22002 
420, 6.62001 
430, 7.12005 
440, 7.43995 
450, 7.71999 
460, 8.52229 
470, 9.08268 
480, 9.51994 
490, 9.63998 
500, 10.32005 
510, 10.95998 
520, 10.71994 
530, 11.69998 
540, 12.41997 
550, 13.34003 
560, 13.32000 
570, 13.69999 
580, 14.18000 
590, 16.15999 
600, 17.02002 
610, 15.78001 
620, 16.27999 
630, 16.88001 
640, 17.16003 
650, 18.18007 
660, 19.14001 
670, 19.26000 
680, 20.84006 
690, 21.22003 
700, 20.85999 
710, 22.10000 
720, 22.60009 
730, 23.91988 
740, 24.98005 
750, 25.39368 
760, 26.64002 
770, 25.90003 
780, 26.75999 
790, 28.52007 
800, 28.83996 
810, 30.06001 
820, 32.16007 
830, 31.69995 
840, 31.39994 
850, 32.44000 
860, 33.85996 
870, 33.99994 
880, 34.07995 
890, 35.15994 
900, 35.50001 
910, 36.73999 
920, 38.22014 
930, 38.83981 
940, 39.92791 
950, 41.41998 
960, 41.73991 
970, 43.08005 
980, 42.06007 
990, 43.37990 
1000, 44.44005 
