반복횟수, 수행시간 
0, 0.00000 
10, 0.02001 
20, 0.00000 
30, 0.04000 
40, 0.05999 
50, 0.09999 
60, 0.14000 
70, 0.15999 
80, 0.23997 
90, 0.28001 
100, 0.35999 
110, 0.45998 
120, 0.60003 
130, 0.77998 
140, 0.76000 
150, 0.78001 
160, 0.88004 
170, 1.13998 
180, 1.14010 
190, 1.27991 
200, 1.38000 
210, 1.55999 
220, 1.83998 
230, 1.86005 
240, 2.25998 
250, 2.33999 
260, 2.39999 
270, 2.60000 
280, 2.94001 
290, 3.00001 
300, 3.39999 
310, 3.98000 
320, 3.90002 
330, 4.01999 
340, 4.44000 
350, 4.53998 
360, 4.88003 
370, 5.00000 
380, 5.80007 
390, 5.89994 
400, 6.09994 
410, 7.28006 
420, 7.39995 
430, 7.14001 
440, 7.34001 
450, 7.82003 
460, 8.61992 
470, 9.02000 
480, 9.48001 
490, 9.32007 
500, 10.31999 
510, 10.24011 
520, 11.13994 
530, 11.17999 
540, 11.48007 
550, 11.86002 
560, 12.86002 
570, 13.24001 
580, 14.54002 
590, 13.57997 
600, 14.56006 
610, 14.93993 
620, 15.70004 
630, 16.80000 
640, 16.64001 
650, 16.85999 
660, 17.59991 
670, 19.22010 
680, 19.94006 
690, 19.45998 
700, 20.32440 
710, 21.80003 
720, 21.32009 
730, 21.87990 
740, 22.80000 
750, 23.31998 
760, 24.72000 
770, 25.94009 
780, 26.63995 
790, 27.39994 
800, 26.96007 
810, 27.37995 
820, 28.27998 
830, 29.44003 
840, 29.59996 
850, 29.58010 
860, 30.45997 
870, 31.37996 
880, 31.59997 
890, 33.24004 
900, 33.91995 
910, 34.38001 
920, 35.56796 
930, 36.92009 
940, 38.07994 
950, 39.38004 
960, 37.44002 
970, 38.83996 
980, 39.52006 
990, 40.40001 
1000, 42.07993 
