반복횟수, 수행시간 
0, 0.00000 
10, 0.00400 
20, 0.00900 
30, 0.01200 
40, 0.01600 
50, 0.02000 
60, 0.02400 
70, 0.02900 
80, 0.03500 
90, 0.03900 
100, 0.04200 
110, 0.04800 
120, 0.05500 
130, 0.05800 
140, 0.06100 
150, 0.06701 
160, 0.07300 
170, 0.07700 
180, 0.08001 
190, 0.08500 
200, 0.09000 
210, 0.09500 
220, 0.10100 
230, 0.10700 
240, 0.11100 
250, 0.11600 
260, 0.12000 
270, 0.12600 
280, 0.13300 
290, 0.14200 
300, 0.14600 
310, 0.14899 
320, 0.15400 
330, 0.16199 
340, 0.16900 
350, 0.16900 
360, 0.19500 
370, 0.19600 
380, 0.19300 
390, 0.19900 
400, 0.20300 
410, 0.20800 
420, 0.21500 
430, 0.22800 
440, 0.23200 
450, 0.23500 
460, 0.23800 
470, 0.25100 
480, 0.25500 
490, 0.25800 
500, 0.26000 
510, 0.27100 
520, 0.27499 
530, 0.28300 
540, 0.29001 
550, 0.29400 
560, 0.30501 
570, 0.30899 
580, 0.31100 
590, 0.31500 
600, 0.32300 
610, 0.33300 
620, 0.33400 
630, 0.34099 
640, 0.35000 
650, 0.35800 
660, 0.36200 
670, 0.37000 
680, 0.37901 
690, 0.38300 
700, 0.39400 
710, 0.40009 
720, 0.40295 
730, 0.41253 
740, 0.40900 
750, 0.42600 
760, 0.42000 
770, 0.43100 
780, 0.43601 
790, 0.44801 
800, 0.43900 
810, 0.45800 
820, 0.46000 
830, 0.46900 
840, 0.47800 
850, 0.47900 
860, 0.49200 
870, 0.49299 
880, 0.49900 
890, 0.50600 
900, 0.51600 
910, 0.52001 
920, 0.52599 
930, 0.53201 
940, 0.54600 
950, 0.54600 
960, 0.56399 
970, 0.56400 
980, 0.56500 
990, 0.56600 
1000, 0.57700 
