반복횟수, 수행시간 
0, 0.00000 
10, 0.00000 
20, 0.00000 
30, 0.01999 
40, 0.04005 
50, 0.03995 
60, 0.08006 
70, 0.07994 
80, 0.10000 
90, 0.14000 
100, 0.13999 
110, 0.16001 
120, 0.20006 
130, 0.24000 
140, 0.23995 
150, 0.31997 
160, 0.42001 
170, 0.53998 
180, 0.51996 
190, 0.64000 
200, 0.95999 
210, 0.70000 
220, 0.68000 
230, 0.82007 
240, 0.79998 
250, 0.81996 
260, 0.90001 
270, 1.00001 
280, 1.08002 
290, 1.18003 
300, 1.33995 
310, 1.46007 
320, 1.59992 
330, 1.58004 
340, 1.83996 
350, 2.23999 
360, 1.92008 
370, 2.29994 
380, 2.17999 
390, 2.27996 
400, 2.42002 
410, 2.65998 
420, 2.96000 
430, 3.12006 
440, 3.09995 
450, 3.32001 
460, 4.17999 
470, 3.96003 
480, 3.67997 
490, 4.10000 
500, 5.12007 
510, 4.65995 
520, 4.46008 
530, 4.43988 
540, 4.52001 
550, 5.21989 
560, 5.04002 
570, 5.44008 
580, 5.69996 
590, 5.83999 
600, 5.87998 
610, 6.01998 
620, 5.97998 
630, 6.18003 
640, 7.11999 
650, 6.82000 
660, 7.05997 
670, 7.24005 
680, 7.61994 
690, 7.63999 
700, 7.75993 
710, 8.33997 
720, 8.57999 
730, 9.69998 
740, 9.18002 
750, 9.50003 
760, 9.38002 
770, 9.83996 
780, 9.91997 
790, 9.83999 
800, 10.82001 
810, 10.54003 
820, 10.87989 
830, 12.33998 
840, 12.02001 
850, 11.77992 
860, 13.36000 
870, 13.29725 
880, 13.02723 
890, 13.23998 
900, 13.48000 
910, 13.38010 
920, 14.31993 
930, 13.88005 
940, 14.15995 
950, 14.58000 
960, 16.19997 
970, 16.22004 
980, 16.65996 
990, 16.94001 
1000, 17.36001 
