반복횟수, 수행시간 
0, 0.00022 
10, 0.00444 
20, 0.00914 
30, 0.01423 
40, 0.02038 
50, 0.02614 
60, 0.03241 
70, 0.03774 
80, 0.05000 
90, 0.05680 
100, 0.06433 
110, 0.07280 
120, 0.08016 
130, 0.08662 
140, 0.09663 
150, 0.10201 
160, 0.11062 
170, 0.12208 
180, 0.12460 
190, 0.13864 
200, 0.14535 
210, 0.18537 
220, 0.20103 
230, 0.23605 
240, 0.27273 
250, 0.30384 
260, 0.31981 
270, 0.28495 
280, 0.27867 
290, 0.29603 
300, 0.27608 
310, 0.29922 
320, 0.30911 
330, 0.29317 
340, 0.30591 
350, 0.28026 
360, 0.28255 
370, 0.29196 
380, 0.30452 
390, 0.31327 
400, 0.31996 
410, 0.33332 
420, 0.35317 
430, 0.34966 
440, 0.34260 
450, 0.32156 
460, 0.33596 
470, 0.35625 
480, 0.34590 
490, 0.35168 
500, 0.35984 
510, 0.37335 
520, 0.37913 
530, 0.38625 
540, 0.39051 
550, 0.40249 
560, 0.41033 
570, 0.41654 
580, 0.42335 
590, 0.43621 
600, 0.44600 
610, 0.45207 
620, 0.46120 
630, 0.47329 
640, 0.48327 
650, 0.48777 
660, 0.50156 
670, 0.50739 
680, 0.51911 
690, 0.52480 
700, 0.52921 
710, 0.54031 
720, 0.54569 
730, 0.55294 
740, 0.56431 
750, 0.56955 
760, 0.58431 
770, 0.59201 
780, 0.59829 
790, 0.60931 
800, 0.62793 
810, 0.64156 
820, 0.64225 
830, 0.64162 
840, 0.65280 
850, 0.66396 
860, 0.66483 
870, 0.67875 
880, 0.69165 
890, 0.69323 
900, 0.70141 
910, 0.71104 
920, 0.71769 
930, 0.72890 
940, 0.73618 
950, 0.74463 
960, 0.75263 
970, 0.76207 
980, 0.77234 
990, 0.78292 
1000, 0.79111 
