반복횟수, 수행시간 
0, 0.00000 
10, 0.00000 
20, 0.00000 
30, 0.03999 
40, 0.02000 
50, 0.07999 
60, 0.12000 
70, 0.14000 
80, 0.18002 
90, 0.21996 
100, 0.23996 
110, 0.36000 
120, 0.40003 
130, 0.35997 
140, 0.54004 
150, 0.52002 
160, 0.68006 
170, 0.74022 
180, 0.87998 
190, 1.00008 
200, 1.09998 
210, 1.22002 
220, 1.72001 
230, 1.91994 
240, 1.93995 
250, 1.83994 
260, 1.98004 
270, 1.93997 
280, 2.09993 
290, 2.24000 
300, 2.39990 
310, 2.61995 
320, 2.78004 
330, 2.99999 
340, 3.19993 
350, 3.94001 
360, 3.74017 
370, 4.03992 
380, 4.05967 
390, 4.38015 
400, 4.54004 
410, 5.11996 
420, 5.71978 
430, 5.57999 
440, 6.27987 
450, 6.07988 
460, 6.81993 
470, 6.83988 
480, 7.67999 
490, 7.89986 
500, 7.98037 
510, 8.41997 
520, 9.19984 
530, 9.13981 
540, 9.54000 
550, 9.63993 
560, 10.15988 
570, 10.37992 
580, 10.59994 
590, 11.17990 
600, 12.36004 
610, 12.15997 
620, 12.51992 
630, 13.63997 
640, 13.06002 
650, 13.62000 
660, 13.87970 
670, 14.13993 
680, 15.67987 
690, 15.05970 
700, 16.31669 
710, 16.49849 
720, 16.79901 
730, 17.92001 
740, 17.95991 
750, 17.87996 
760, 20.23988 
770, 20.15983 
780, 20.77995 
790, 21.07996 
800, 23.24011 
810, 23.69992 
820, 23.29994 
830, 23.51984 
840, 24.35988 
850, 23.36001 
860, 24.15998 
870, 24.44009 
880, 25.65988 
890, 27.07994 
900, 27.29991 
910, 29.27986 
920, 28.75996 
930, 28.90008 
940, 30.38280 
950, 29.14638 
960, 29.79142 
970, 31.19992 
980, 33.35985 
990, 31.65986 
1000, 33.03970 
