반복횟수, 수행시간 
0, 0.00000 
10, 0.00000 
20, 0.01997 
30, 0.03997 
40, 0.04003 
50, 0.04005 
60, 0.07998 
70, 0.12001 
80, 0.14000 
90, 0.20001 
100, 0.23995 
110, 0.34000 
120, 0.33999 
130, 0.39996 
140, 0.47999 
150, 0.55995 
160, 0.64001 
170, 0.70012 
180, 0.80007 
190, 0.90001 
200, 1.00004 
210, 1.10005 
220, 1.23993 
230, 1.35999 
240, 1.40000 
250, 1.52007 
260, 1.63981 
270, 1.77999 
280, 2.03999 
290, 2.07998 
300, 2.21996 
310, 2.43999 
320, 2.56002 
330, 2.72008 
340, 2.86009 
350, 3.15994 
360, 3.34003 
370, 3.87979 
380, 3.81997 
390, 3.87993 
400, 4.22008 
410, 4.49984 
420, 4.66001 
430, 4.75984 
440, 5.04005 
450, 5.35995 
460, 5.63993 
470, 5.97998 
480, 6.26005 
490, 6.47994 
500, 6.73984 
510, 7.04023 
520, 7.51989 
530, 7.75998 
540, 8.15999 
550, 8.39985 
560, 8.57998 
570, 8.96017 
580, 9.38009 
590, 9.67993 
600, 9.95991 
610, 10.33995 
620, 10.96008 
630, 11.15996 
640, 11.45977 
650, 11.93988 
660, 12.43988 
670, 12.83993 
680, 13.11996 
690, 13.53964 
700, 14.08000 
710, 14.27988 
720, 14.91993 
730, 15.77998 
740, 16.03994 
750, 16.61963 
760, 16.73994 
770, 17.16004 
780, 17.75991 
790, 17.99987 
800, 18.61992 
810, 19.08456 
820, 19.45675 
830, 20.11986 
840, 20.53877 
850, 21.11986 
860, 21.59984 
870, 22.15988 
880, 22.57987 
890, 23.37988 
900, 23.73992 
910, 24.55988 
920, 24.95978 
930, 27.22001 
940, 26.13991 
950, 27.09991 
960, 27.45981 
970, 28.09772 
980, 28.79989 
990, 29.22002 
1000, 30.12191 
