반복횟수, 수행시간 
0, 0.00000 
10, 0.00000 
20, 0.00000 
30, 0.02000 
40, 0.04008 
50, 0.03991 
60, 0.06000 
70, 0.08000 
80, 0.12000 
90, 0.12004 
100, 0.17997 
110, 0.18005 
120, 0.23995 
130, 0.26000 
140, 0.31999 
150, 0.36000 
160, 0.40003 
170, 0.45997 
180, 0.50007 
190, 0.57993 
200, 0.61999 
210, 0.70004 
220, 0.74004 
230, 0.81995 
240, 0.87998 
250, 0.96000 
260, 1.04002 
270, 1.14001 
280, 1.22005 
290, 1.30001 
300, 1.37994 
310, 1.54002 
320, 1.59996 
330, 1.70000 
340, 1.84003 
350, 1.94000 
360, 2.06002 
370, 2.17996 
380, 2.32007 
390, 2.48000 
400, 2.53989 
410, 2.72007 
420, 3.38000 
430, 3.05994 
440, 3.22000 
450, 3.48001 
460, 3.68001 
470, 3.74001 
480, 3.82001 
490, 4.02000 
500, 4.48002 
510, 4.45998 
520, 4.77996 
530, 5.24003 
540, 5.03995 
550, 5.62002 
560, 5.56004 
570, 5.58002 
580, 6.09996 
590, 5.98004 
600, 7.11991 
610, 7.00000 
620, 6.88000 
630, 7.23999 
640, 7.13999 
650, 7.62007 
660, 7.65992 
670, 8.19178 
680, 8.24371 
690, 8.94202 
700, 10.05991 
710, 10.35994 
720, 10.11999 
730, 10.02001 
740, 11.24006 
750, 12.05993 
760, 11.48002 
770, 11.66000 
780, 12.29992 
790, 14.16001 
800, 12.68005 
810, 12.85996 
820, 12.70001 
830, 13.37999 
840, 13.89996 
850, 13.64002 
860, 15.59998 
870, 14.94005 
880, 15.10001 
890, 15.09999 
900, 16.89291 
910, 16.32921 
920, 16.39994 
930, 16.92003 
940, 17.77977 
950, 17.88004 
960, 18.12003 
970, 18.38002 
980, 18.53993 
990, 19.75996 
1000, 20.08000 
