반복횟수, 수행시간 
0, 0.00000 
10, 0.00000 
20, 0.01996 
30, 0.02001 
40, 0.02001 
50, 0.04000 
60, 0.04002 
70, 0.08002 
80, 0.09995 
90, 0.14002 
100, 0.13994 
110, 0.18000 
120, 0.22000 
130, 0.26000 
140, 0.31998 
150, 0.34001 
160, 0.38006 
170, 0.45994 
180, 0.52002 
190, 0.54006 
200, 0.59992 
210, 0.66000 
220, 0.72001 
230, 0.80006 
240, 0.85996 
250, 0.91997 
260, 1.08003 
270, 1.07998 
280, 1.24000 
290, 1.26000 
300, 1.34002 
310, 1.43998 
320, 1.54005 
330, 1.67339 
340, 1.74355 
350, 1.82984 
360, 1.97936 
370, 2.12397 
380, 2.21635 
390, 2.38425 
400, 2.49654 
410, 2.60000 
420, 2.95995 
430, 2.90001 
440, 3.02001 
450, 3.17998 
460, 3.35999 
470, 3.57999 
480, 3.70001 
490, 3.86000 
500, 4.08007 
510, 4.19998 
520, 4.38003 
530, 4.60004 
540, 4.79994 
550, 5.03999 
560, 5.20000 
570, 5.38008 
580, 5.61992 
590, 5.90010 
600, 6.01995 
610, 6.39999 
620, 6.61999 
630, 6.74005 
640, 6.95992 
650, 7.26000 
660, 7.42004 
670, 7.65997 
680, 7.91997 
690, 8.22001 
700, 8.45998 
710, 8.64001 
720, 9.04003 
730, 9.27999 
740, 9.43996 
750, 9.80000 
760, 10.16001 
770, 10.42000 
780, 10.64002 
790, 10.89999 
800, 11.20005 
810, 11.57997 
820, 12.05997 
830, 12.13998 
840, 12.78005 
850, 12.60016 
860, 12.92003 
870, 13.64005 
880, 13.93992 
890, 13.94004 
900, 14.39593 
910, 14.96744 
920, 15.30007 
930, 15.57989 
940, 15.96001 
950, 16.25988 
960, 16.74008 
970, 16.87996 
980, 17.28002 
990, 17.75993 
1000, 18.09999 
