반복횟수, 수행시간 
0, 0.00000 
10, 0.00500 
20, 0.00700 
30, 0.01000 
40, 0.01499 
50, 0.02000 
60, 0.02200 
70, 0.02600 
80, 0.03200 
90, 0.03400 
100, 0.04000 
110, 0.04400 
120, 0.04900 
130, 0.05300 
140, 0.05600 
150, 0.06300 
160, 0.06600 
170, 0.07100 
180, 0.07700 
190, 0.07900 
200, 0.08600 
210, 0.09100 
220, 0.10200 
230, 0.10000 
240, 0.10600 
250, 0.11300 
260, 0.11700 
270, 0.11899 
280, 0.12600 
290, 0.14200 
300, 0.13600 
310, 0.14100 
320, 0.14901 
330, 0.18199 
340, 0.16000 
350, 0.18900 
360, 0.17599 
370, 0.17700 
380, 0.17799 
390, 0.18700 
400, 0.19600 
410, 0.20000 
420, 0.21927 
430, 0.22632 
440, 0.23034 
450, 0.22608 
460, 0.23800 
470, 0.26100 
480, 0.23800 
490, 0.25700 
500, 0.25800 
510, 0.26100 
520, 0.28700 
530, 0.29099 
540, 0.27800 
550, 0.29400 
560, 0.28501 
570, 0.30500 
580, 0.31299 
590, 0.31401 
600, 0.31400 
610, 0.34700 
620, 0.32600 
630, 0.34600 
640, 0.36201 
650, 0.36500 
660, 0.34900 
670, 0.35401 
680, 0.36400 
690, 0.39300 
700, 0.37701 
710, 0.40100 
720, 0.38800 
730, 0.42800 
740, 0.40500 
750, 0.50200 
760, 0.40800 
770, 0.44700 
780, 0.43001 
790, 0.43600 
800, 0.44700 
810, 0.45500 
820, 0.46600 
830, 0.45899 
840, 0.47400 
850, 0.46900 
860, 0.48400 
870, 0.47600 
880, 0.50400 
890, 0.50799 
900, 0.50200 
910, 0.51300 
920, 0.51200 
930, 0.52600 
940, 0.52200 
950, 0.52200 
960, 0.52599 
970, 0.53700 
980, 0.55100 
990, 0.56900 
1000, 0.58199 
