반복횟수, 수행시간 
0, 0.00000 
10, 0.00000 
20, 0.00000 
30, 0.02001 
40, 0.04004 
50, 0.01997 
60, 0.05999 
70, 0.07997 
80, 0.10000 
90, 0.09999 
100, 0.14001 
110, 0.16002 
120, 0.17997 
130, 0.24009 
140, 0.23997 
150, 0.29995 
160, 0.31999 
170, 0.36000 
180, 0.42000 
190, 0.44005 
200, 0.49994 
210, 0.54008 
220, 0.59992 
230, 0.62006 
240, 0.72004 
250, 0.94008 
260, 1.03856 
270, 0.90262 
280, 1.02605 
290, 1.09880 
300, 1.18350 
310, 1.28458 
320, 1.37997 
330, 1.50002 
340, 1.58497 
350, 1.71079 
360, 2.10264 
370, 2.64132 
380, 2.32238 
390, 2.28000 
400, 2.41995 
410, 2.86006 
420, 2.65994 
430, 2.82002 
440, 3.55998 
450, 3.48002 
460, 3.63998 
470, 3.65994 
480, 3.48000 
490, 3.76004 
500, 3.78001 
510, 3.94001 
520, 4.52001 
530, 4.25997 
540, 5.26000 
550, 4.51999 
560, 4.74000 
570, 5.86002 
580, 4.95997 
590, 5.73998 
600, 5.85995 
610, 6.12000 
620, 5.69994 
630, 7.16005 
640, 7.05998 
650, 6.39999 
660, 7.06000 
670, 6.94001 
680, 7.01999 
690, 7.47996 
700, 7.55998 
710, 7.82005 
720, 7.97997 
730, 8.37998 
740, 8.48001 
750, 8.47994 
760, 9.89999 
770, 9.65994 
780, 9.52005 
790, 9.61997 
800, 9.67998 
810, 10.20003 
820, 11.24166 
830, 11.00955 
840, 11.33998 
850, 11.21994 
860, 11.48001 
870, 11.57999 
880, 12.26002 
890, 13.72004 
900, 12.62008 
910, 12.85996 
920, 13.82000 
930, 13.66000 
940, 14.28001 
950, 14.66000 
960, 14.90003 
970, 14.08000 
980, 14.58007 
990, 14.68042 
1000, 15.13995 
