"행정구역(시군구)별",2022.03,2022.03,2022.03,2022.04,2022.04,2022.04,2022.05,2022.05,2022.05
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"전국",51610695,25730584,25880111,51592660,25721053,25871607,51583722,25715591,25868131
"서울특별시",9506778,4613910,4892868,9500480,4610082,4890398,9496887,4607440,4889447
"부산광역시",3343504,1634958,1708546,3340214,1633170,1707044,3338167,1631825,1706342
"대구광역시",2380494,1172632,1207862,2378573,1171451,1207122,2376676,1170309,1206367
"인천광역시",2952699,1478272,1474427,2953260,1478514,1474746,2955167,1479428,1475739
"광주광역시",1438463,711289,727174,1436916,710524,726392,1436012,710062,725950
"대전광역시",1450057,723361,726696,1449360,723063,726297,1448933,722840,726093
"울산광역시",1118010,574444,543566,1117204,573984,543220,1116482,573619,542863
"세종특별자치시",377296,188356,188940,378196,188778,189418,379340,189302,190038
"경기도",13575936,6832830,6743106,13577808,6833859,6743949,13581496,6835968,6745528
"강원도",1539036,774522,764514,1539038,774562,764476,1539005,774458,764547
"충청북도",1597484,811004,786480,1597284,811063,786221,1597033,811009,786024
"충청남도",2119099,1083753,1035346,2119296,1083970,1035326,2119661,1084296,1035365
"전라북도",1782205,886928,895277,1780824,886274,894550,1779230,885475,893755
"전라남도",1829501,920971,908530,1828550,920492,908058,1827674,920050,907624
"경상북도",2619641,1320888,1298753,2617552,1320018,1297534,2616177,1319332,1296845
"경상남도",3303274,1663146,1640128,3300692,1661866,1638826,3298016,1660600,1637416
"제주특별자치도",677218,339320,337898,677413,339383,338030,677766,339578,338188
